国际,#genre#
东森财经,rtmp://59.124.75.150/sat/tv571$高清720P
东森财经,rtmp://59.124.75.138/sat/tv571$高清720P
东森超视,rtmp://59.124.75.150/sat/tv331$高清720P
东森超视,http://171.108.239.13:8181/tsfile/live/1023_1.m3u8$高清720P
东森超视,rtmp://59.124.75.138:1935/sat/tv331$高清720P
东森超视,rtmp://59.124.75.138/sat/tv521$高清720P
东森超视,rtmp://59.124.75.150/sat/tv521$高清720P
卫视电影,http://23.237.10.66:16010$高清720P
纬来育乐,rtmp://59.124.75.150/sat/tv701$高清720P
纬来育乐,rtmp://59.124.75.138/sat/tv701$高清720P
纬来体育,rtmp://59.124.75.150/sat/tv721$高清720P
纬来体育,rtmp://59.124.75.138/sat/tv721$高清720P
大爱一台,https://pulltv1.wanfudaluye.com/live/tv1.m3u8$高清720P
大爱二台,https://pulltv2.wanfudaluye.com/live/tv2.m3u8$高清720P
好消息1,http://live-350k.streamingfast.net/hls-live/goodtv/_definst_/liveevent/live-ch1-1.m3u8$高清720P
好消息2,http://live-350k.streamingfast.net/hls-live/goodtv/_definst_/liveevent/live-ch2-1.m3u8$高清720P
公视,http://hd0808.top/jd2/qfjd2.php?cid=live1201&p=5003$高清1080P
壹新闻,http://hd0808.top/jd2/qfjd2.php?cid=live1242&p=5003$高清1080P
三立新闻台,http://23.237.10.66:16342$高清720P
三立台湾台,http://hd0808.top/jd2/qfjd2.php?cid=live1021&p=5003$高清1080P
三立都会台,http://hd0808.top/jd2/qfjd2.php?cid=live1020&p=5003$高清1080P
三立戏剧台,http://50.7.220.74:8278/sanlixiju_twn/playlist.m3u8?tid=MA8A4626080046260800&ct=19053&tsum=205a453781925ebfb8996c1db8d4ed59$高清1080P
原住民电视台,https://streamipcf.akamaized.net/live/_definst_/smil:live.smil/chunklist_b3000.m3u8?cuac=guest&cref=https%3A%2F%2Fwww.ipcf.org.tw%2F$高清1080P
原住民电视台,http://streamipcf.akamaized.net/live/_definst_/live_720/chunklist_b1500.m3u8$高清720P
中视HD,http://hd0808.top/jd2/qfjd2.php?cid=live1048&p=5003$高清1080P
中视HD,http://jeffrey.qwl1965.top/tbs.php?tid=gt&id=39$高清720P
中视HD,http://wxwxw.qwl1965.top:8890/tbs.php?tid=gt&id=39$高清720P
中视HD,rtmp://59.124.75.138/sat/tv091$高清720P
中视HD,rtmp://59.124.75.150/sat/tv091$高清720P
中视新闻HD,http://jeffrey.qwl1965.top/tbs.php?tid=gt&id=36$高清720P
中视新闻HD,http://wxwxw.qwl1965.top:8890/tbs.php?tid=gt&id=36$高清720P
中天新闻,http://60.251.39.247:8504/http/192.168.77.24:8081/hls/78/80/ch63max.m3u8?blog.ntnas.top$高清1080P
中天新闻,http://60.251.39.247:8504/http/192.168.77.24:8081/hls/78/80/ch63max.m3u8$高清1080P
中天新闻,http://60.251.39.247:8504/.m3u8$高清1080P
中天新闻,https://epg.pm/stream/526f164cdabe04bee921865bb05037255c22ccbeb50cafd3a4ec83cc00514447.m3u8$高清1080P
中天新闻,http://jeffrey.qwl1965.top/tbs.php?tid=gt&id=29$高清720P
中天新闻,http://wxwxw.qwl1965.top:8890/tbs.php?tid=gt&id=29$高清720P
中天娱乐HD,http://hd0808.top/jd2/qfjd2.php?cid=live1023&p=5003$高清1080P
华视HD,http://jeffrey.qwl1965.top/tbs.php?tid=gt&id=42$高清1080P
华视HD,http://hd0808.top/jd2/qfjd2.php?cid=live1049&p=5003$高清1080P
华视HD,rtmp://59.124.75.138:1935/sat/tv111$高清720P
华视HD,rtmp://59.124.75.150/sat/tv111$高清720P
华视新闻HD,http://hd0808.top/jd2/qfjd2.php?cid=live1238&p=5003$高清1080P
华视新闻HD,http://jeffrey.qwl1965.top/tbs.php?tid=gt&id=37$高清1080P
民视HD,http://wxwxw.qwl1965.top:8890/tbs.php?tid=gt&id=41$高清1080P
民视HD,http://hd0808.top/jd2/qfjd2.php?cid=live1050&p=5003$高清1080P
民视HD,rtmp://59.124.75.150/sat/tv051$高清720P
民视HD,rtmp://59.124.75.138/sat/tv051$高清720P
民视新闻HD,http://hd0808.top/jd2/qfjd2.php?cid=live1204&p=5003$高清1080P
民视新闻HD,https://epg.pm/stream/c4e4884645d94d0d2e76e47c691546493b7031348b663eb9a67769b0096f8b7e.m3u8$高清720P
民视新闻HD,http://38.64.72.148:80/hls/modn/list/4012/chunklist0.m3u8$高清720P
民视新闻HD,http://38.64.72.148:80/hls/modn/list/4012/chunklist1.m3u8$高清720P
民视综艺,http://wxwxw.qwl1965.top:8890/tbs.php?tid=gt&id=47$高清1080P
民视综艺,http://jeffrey.qwl1965.top/tbs.php?tid=gt&id=47$高清1080P
民视台湾HD,http://jeffrey.qwl1965.top/tbs.php?tid=gt&id=45$高清1080P
民视台湾HD,http://wxwxw.qwl1965.top:8890/tbs.php?tid=gt&id=45$高清720P
民视影剧,http://jeffrey.qwl1965.top/tbs.php?tid=gt&id=49$高清720P
民视影剧,http://wxwxw.qwl1965.top:8890/tbs.php?tid=gt&id=49$高清720P
民视第一台HD,http://jeffrey.qwl1965.top/tbs.php?tid=gt&id=46$高清720P
民视第一台HD,http://wxwxw.qwl1965.top:8890/tbs.php?tid=gt&id=46$高清720P
台视HD,http://wxwxw.qwl1965.top:8890/tbs.php?tid=gt&id=40$高清720P
台视HD,http://jeffrey.qwl1965.top/tbs.php?tid=gt&id=40$高清720P
台视HD,rtmp://59.124.75.150/sat/tv071$高清720P
台视HD,rtmp://59.124.75.138/sat/tv071$高清720P
台视新闻HD,https://epg.pm/stream/8655006acfa3857ec51f6427fa2ea9ca167b38fc53ae84d1645bc0ce8b4060ba.m3u8$高清1080P
台视新闻HD,http://38.64.72.148:80/hls/modn/list/4013/chunklist1.m3u8$高清1080P
台视新闻HD,http://38.64.72.148:80/hls/modn/list/4013/chunklist0.m3u8$高清1080P
番薯,http://61.216.67.119:1935/TWHG/E1/chunklist_w7058102.m3u8
番薯,http://61.216.67.119:1935/TWHG/E1/chunklist_w705811302.m3u8
点掌财经,http://cclive2.aniu.tv/live/anzb.m3u8?zgangd
点掌财经,http://cclive2.aniu.tv/live/anzb.m3u8
耀才财经,http://202.69.67.66:443/webcast/bshdlive-mobile/playlist.m3u8
耀才财经,http://202.69.67.66:443/webcast/bshdlive-pc/playlist.m3u8
耀才财经,http://202.69.67.66:443/webcast/bshdlive-pc/playlist.m3u8?wowzasessionid=64000
耀才财经,https://v3.mediacast.hk/webcast/bshdlive-pc/playlist.m3u8
HBO,http://platin4k.eu:80/kralkerim/8TKLyJivVEA/73696$高清1080P
HBO,http://platin4k.eu:80/kralkerim/8TKLyJivVEA/34795$高清1080P
HBO2,http://hpull.kktv8.com/livekktv/128600025/playlist.m3u8$高清1080P

🇨🇳•全球,#genre#
亚洲,http://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_5.m3u8?zshijd
亚洲新闻,http://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_4.m3u8?zshijd
CGTN法语,https://livefr.cgtn.com/1000f/prog_index.m3u8?zshijd
CGTN俄语,https://liveru.cgtn.com/1000r/prog_index.m3u8?zshijd
CGTN西语,https://livees.cgtn.com/1000e/prog_index.m3u8?zshijd
CGTN纪录,https://news.cgtn.com/resource/live/document/cgtn-doc.m3u8?zshijd
CGTN法语,https://news.cgtn.com/resource/live/french/cgtn-f.m3u8?zshijd
CGTN西语,https://news.cgtn.com/resource/live/espanol/cgtn-e.m3u8?zshijd
CGTN Documentary,https://livedoc.cgtn.com/500d/prog_index.m3u8?zshijd
